Topic,Top Words
Topic 1,"credit, report, account, debt, information, reporting, collection, letter, company, bureau"
Topic 2,"payment, loan, pay, late, month, paid, due, balance, time, interest"
Topic 3,"mortgage, loan, home, modification, document, property, tax, insurance, time, year"
Topic 4,"card, account, credit, charge, fraud, service, bank, one, customer, information"
Topic 5,"bank, account, money, check, back, time, well, day, get, asked"
